k,h,E,F
0.0,0.0,0.0,0.9997178284122917
0.030303030303030304,0.0,0.2727272727272722,1.0
0.06060606060606061,0.0,0.5454545454545464,1.0
0.09090909090909091,0.0,0.8181818181818168,0.9999999999999998
0.12121212121212122,0.0,1.0909090909090904,1.0
0.15151515151515152,0.0,1.3636363636363702,1.0
0.18181818181818182,0.0,1.6363636363636382,1.0000000000000002
0.21212121212121213,0.0,1.9090909090909223,1.0
0.24242424242424243,0.0,2.1818181818181825,0.9999999999999998
0.2727272727272727,0.0,2.454545454545452,1.0000000000000002
0.30303030303030304,0.0,2.7272727272727195,1.0
0.33333333333333337,0.0,3.000000000000007,1.0
0.36363636363636365,0.0,3.2727272727272694,1.0
0.3939393939393939,0.0,3.545454545454547,1.0
0.42424242424242425,0.0,3.818181818181816,1.0
0.4545454545454546,0.0,4.090909090909086,1.0000000000000002
0.48484848484848486,0.0,4.363636363636339,1.0000000000000002
0.5151515151515151,0.0,4.6363636363636305,1.0
0.5454545454545454,0.0,4.909090909090873,1.0
0.5757575757575758,0.0,5.181818181818186,0.9999999999999998
0.6060606060606061,0.0,5.454545454545438,1.0000000000000002
0.6363636363636364,0.0,5.727272727272744,1.0
0.6666666666666667,0.0,6.000000000000004,1.0
0.696969696969697,0.0,6.272727272727274,1.0
0.7272727272727273,0.0,6.545454545454536,0.9999999999999998
0.7575757575757576,0.0,6.8181818181818254,1.0000000000000002
0.7878787878787878,0.0,7.090909090909098,1.0000000000000002
0.8181818181818182,0.0,7.363636363636369,1.0
0.8484848484848485,0.0,7.63636363636367,1.0000000000000002
0.8787878787878788,0.0,7.909090909090928,1.0000000000000002
0.9090909090909092,0.0,8.18181818181822,1.0
0.9393939393939394,0.0,8.454545454545418,1.0
0.9696969696969697,0.0,8.727272727272728,1.0
1.0,0.0,8.999999999999982,1.0
1.0303030303030303,0.0,9.272727272727291,1.0000000000000002
1.0606060606060606,0.0,9.545454545454549,1.0
1.0909090909090908,0.0,9.818181818181795,0.9999999999999998
1.1212121212121213,0.0,10.090909090909074,1.0000000000000002
1.1515151515151516,0.0,10.363636363636346,1.0000000000000002
1.1818181818181819,0.0,10.63636363636362,0.9999999999999998
1.2121212121212122,0.0,10.90909090909087,1.0000000000000002
1.2424242424242424,0.0,11.181818181818173,1.0
1.2727272727272727,0.0,11.454545454545462,1.0
1.303030303030303,0.0,11.727272727272718,1.0
1.3333333333333335,0.0,12.000000000000014,1.0
1.3636363636363638,0.0,12.272727272727334,0.9999999999999998
1.393939393939394,0.0,12.545454545454538,1.0
1.4242424242424243,0.0,12.818181818181783,1.0
1.4545454545454546,0.0,13.090909090909117,1.0
1.4848484848484849,0.0,13.363636363636342,1.0000000000000002
1.5151515151515151,0.0,13.636363636363608,1.0
1.5454545454545454,0.0,13.909090909090908,0.9999999999999998
1.5757575757575757,0.0,14.181818181818178,1.0
1.6060606060606062,0.0,14.454545454545459,1.0000000000000002
1.6363636363636365,0.0,14.727272727272753,1.0000000000000002
1.6666666666666667,0.0,14.999999999999991,1.0
1.696969696969697,0.0,15.272727272727302,0.9999999999999998
1.7272727272727273,0.0,15.545454545454577,1.0
1.7575757575757576,0.0,15.818181818181808,1.0000000000000002
